,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
491,mazagao,18,JP,1639786709,60,33.7333,135.9833,276.7,5.1
492,mazagao,68,CN,1639786710,88,45.6167,122.8167,255.65,1.76
493,mazagao,99,MX,1639786711,39,25.35,-105.7333,287.84,5.43
494,mazagao,90,VU,1639786711,78,-19.55,169.2667,301.21,3.09
495,mazagao,98,MZ,1639786712,61,-25.0269,33.0989,293.39,6.11
496,mazagao,80,RU,1639786713,99,65.8522,44.24,254.49,1.24
497,mazagao,90,ES,1639786714,100,42.5617,-2.356,273.04,3.09
498,mazagao,100,GL,1639786714,76,68.3065,-53.4641,260.32,5.31
499,mazagao,51,ZA,1639786715,31,-31.4707,19.776,291.13,4.88
500,mazagao,99,SO,1639786716,71,4.1213,43.8894,296.26,6.23
501,mazagao,70,BO,1639786717,59,-22.0866,-65.5942,285.8,6.6
502,mazagao,10,IN,1639786717,69,19.7333,79.1833,287.61,1.72
503,mazagao,62,RU,1639786719,98,67.4667,86.5833,233.07,2.07
504,mazagao,68,BJ,1639786779,85,6.6387,1.7167,297.55,0.56
505,mazagao,53,PE,1639786780,96,-8.4592,-76.4633,296.2,1.23
506,mazagao,94,AU,1639786781,68,-28.9833,153.4167,301.16,1.98
507,mazagao,43,AR,1639786782,52,-40.8135,-62.9967,296.08,8.99
508,mazagao,100,TZ,1639786782,90,-7.4167,30.6,294.24,2.18
509,mazagao,97,ID,1639786783,86,-0.8917,119.8707,300.49,0.86
510,mazagao,100,PG,1639786784,76,-2.5744,150.7967,301.47,2.07
511,mazagao,100,TH,1639786785,95,6.0851,101.8766,300.06,1.68
512,mazagao,97,RU,1639786785,99,61.67,96.37,243.46,1.58
513,mazagao,1,US,1639786493,72,36.6177,-121.9166,287.52,1.34
514,mazagao,71,PH,1639786786,83,7.7061,122.1353,300.61,3.22
515,mazagao,93,GA,1639786787,85,-0.7193,8.7815,299.49,3.95
516,mazagao,100,US,1639786788,79,47.2043,-121.9915,279.28,0.83
517,mazagao,96,SO,1639786789,80,5.3505,48.5268,298.74,8.63
518,mazagao,100,PG,1639786789,77,-3.1374,142.3475,300.84,5.65
519,mazagao,4,BS,1639786790,72,26.5412,-77.0636,298.22,6.93
520,mazagao,3,CN,1639786791,29,35.7847,118.6281,267.73,2.74
521,mazagao,17,KG,1639786792,57,42.4907,78.3936,264.54,2.83
522,mazagao,93,UA,1639786792,86,46.251,32.2927,274.82,6.83
523,mazagao,89,GB,1639786793,95,53.7259,-1.3626,279.37,0.74
524,mazagao,79,RU,1639786794,95,50.0979,118.0369,248.06,1.41
525,mazagao,0,ES,1639786795,72,29.0605,-13.564,289.27,4.63
526,mazagao,0,AR,1639786796,82,-45.8667,-67.5,290.07,7.2
527,mazagao,0,IN,1639786797,44,29.5833,80.2167,272.74,1.45
528,mazagao,99,BY,1639786797,87,53.1561,24.4513,274.39,5.08
529,mazagao,90,NL,1639786798,99,53.25,6.75,280.39,3.09
530,mazagao,6,BS,1639786799,76,26.6208,-78.2833,295.16,6.22
531,mazagao,71,GB,1639786800,81,60.3964,-1.353,282.1,5.93
532,mazagao,100,CA,1639786801,60,49.7665,-119.7357,267.68,0.92
533,mazagao,75,CY,1639786802,67,34.6884,32.9574,287.62,6.17
534,mazagao,100,RU,1639786803,100,59.6289,112.7406,250.13,0.62
535,mazagao,40,CA,1639786803,70,60.8156,-115.7999,247.14,4.12
536,mazagao,100,AO,1639786804,89,-5.55,12.2,296.57,1.8
537,mazagao,0,UZ,1639786805,68,40.4272,71.7189,269.83,3.09
538,mazagao,72,MX,1639786806,22,27.5833,-109.9667,293.34,3.32
539,mazagao,1,US,1639786806,74,42.6,-84.3833,275.93,2.06
540,mazagao,50,RU,1639786807,93,55.9333,158.7,252.37,1.42
541,mazagao,100,BR,1639786808,93,-7.6142,-72.8958,297.53,0.89
542,mazagao,40,MT,1639786809,76,35.8419,14.5431,285.42,2.57
543,mazagao,9,ZA,1639786597,52,-33.0117,17.9442,291.92,5.4
544,mazagao,51,IN,1639786810,77,12.6264,80.1722,297.07,4.73
545,mazagao,0,RU,1639786811,82,64.75,177.4833,245.43,5
546,mazagao,97,TH,1639786811,72,14.708,101.4161,292.5,6.13
547,mazagao,90,GB,1639786812,95,53.3925,-2.5802,279.83,0.45
548,mazagao,19,NZ,1639786813,53,-35.1,173.7833,297.22,3.15
549,mazagao,100,CA,1639786813,100,47.1666,-55.1483,278.07,2.24
550,mazagao,100,PG,1639786814,86,-8.8785,147.7407,301.33,0.53
551,mazagao,40,US,1639786815,78,39.4735,-118.7774,276.44,3.09
